key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/vco										
vco_brt_alb_dilemma_mananns_favour	false	Alberic holds his trident high as the last of the pirates' ships slips beneath the waves. A peal of thunder rings out, and a living mountain of blue-black water rises up out of the ocean, coalescing into the semblance of a huge man. With a booming voice, it declares that Manann wishes to grant the Bretonnians a boon.	The Sea God's Boon	vco_alberic_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chs_arc_dilemma_slayer_kings	false	Release me from this steel thralldom, Everchosen, so that I may kill for mighty Khorne once more. To taste the blood he spills, rather than watch it drip down the walls of my prison. To wield, and not be wielded. You swore I would be free! You swore!	U'zhul's Fate	vco_archaon_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_cth_miao_dilemma_sister_rescued	false	As the final Cultist is torn away screaming from his altar, a blinding, brilliant light bursts forth from deep within the Dark Fortress. Scores of daemons are incinerated on the spot, and northmen run for their lives as the whole structure collapses. A radiant dragon emerges from the ruin in a spray of shattered masonry. It is Miao's sister, Shen-Zoo, found at last!	Hope Springs Eternal	vco_miao_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_dwf_gro_dilemma_elves	false	Malekith is dead, turned to stone by Grungi's judgment. The dead have been avenged, but there are still foes out in the world. The Karaz Ankor still have need of the White Dwarf. The time has come for Grombindal to decide the fate of the Elgi race. Should the War of Vengeance begin again, or should peace reign?	The Fate of the Elves	vco_grombrindal_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_ksl_kat_dilemma_call_for_aid	false	Though hordes of savage Chaos worshippers have been put to route, countless more descend from the north, held at bay only by the blood and sweat of brave Kislevite stock. The End Times approach, and the Ice Queen knows that the wars to come cannot be fought alone. Her finest diplomats have been summoned to the palace, but who should they petition?	A Call For Aid	vco_katarin_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_skv_mdr_dilemma_ultimate_harvest	false	With the destruction of the Elven waystones, Ariel was forced to use all her strength keeping the portal to the Dreaming Wood contained. In her weakened state, she could not repel the teeming hordes of Clan Moulder who ambushed her in the Witchwood. She was bound in shackles made of purest warpstone and delivered to Throt's Flesh Labs, where she met a most painful end...	Twisted Pleasures	vco_throt_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_vmp_man_dilemma_ossified_portal	false	Mannfred raises the Timor Noctis towards the fell moon shining balefully over the desert. He chants sonorously as the blade glows with power, an unholy dirge that fuses the bones of a dozen conquered Tomb Kings into a great ossified portal that thrums with Dhar magic. The way to Sylvania is open.	The Ossified Portal	vco_mannfred_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chs_aza_dilemma_supplicants_come	false	Within his Dark Fortress, the Prince of Damnation reigns over his Ecstatic Legions. As his latest subjects come to grovel at his feet, Azazel is momentarily roused from his indolent stupour. These great champions of the Old World will surely provide him with some amusement. Indulge one of them, and let the others wallow in despair.	The Supplicants Come	vco_azazel_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
vco_chs_fes_dilemma_lustrian_plague	false	Upon delivery of the ingredients, the sickly rat lowers his hood, revealing a ravaged visage of dripping buboes and a pair of hollow eye sockets. It is none other than Lord Skrolk, the Disease-That-Walks. He claims that Clan Pestilens is now ready to unleash a new plague upon the Old World, but seeks your advice on how best to administer it to the population.	The Lustrian Plague	vco_festus_dilemma	false	Event	UI_CAM_EVENT_Dilemma			false
