id	dilemma_key	choice_key	payload_key	value	target_key
#cdir_events_dilemma_payloads_tables;0;db/cdir_events_dilemma_payloads_tables/vco					
64184351813	vco_vmp_man_dilemma_ossified_portal	FIRST	TEXT_DISPLAY	LOOKUP[vco_vmp_man_dilemma_ossified_portal_teleport]	default
34169461385	vco_vmp_man_dilemma_ossified_portal	SECOND	TEXT_DISPLAY	LOOKUP[vco_vmp_man_dilemma_ossified_portal_ask_again]	default
58496446513	vco_vmp_man_dilemma_ossified_portal	THIRD	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
64184351814	vco_chs_arc_dilemma_slayer_kings	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_arc_2_slayer_kings_dilemma_unbound];DURATION[0]	default
34169461386	vco_chs_arc_dilemma_slayer_kings	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_arc_2_slayer_kings_dilemma_denied];DURATION[0]	default
64184351815	vco_dwf_gro_dilemma_elves	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_dwf_gro_1_dilemma_elves_forgive];DURATION[0]	default
34169461387	vco_dwf_gro_dilemma_elves	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_dwf_gro_1_dilemma_elves_condemn];DURATION[0]	default
34169461388	vco_ksl_kat_dilemma_call_for_aid	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_ksl_kat_3_dilemma_call_for_aid_brt];DURATION[0]	default
34169461389	vco_ksl_kat_dilemma_call_for_aid	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_ksl_kat_3_dilemma_call_for_aid_dwf];DURATION[0]	default
34169461390	vco_ksl_kat_dilemma_call_for_aid	THIRD	EFFECT_BUNDLE	KEY[vco_victory_payload_ksl_kat_3_dilemma_call_for_aid_emp];DURATION[0]	default
34169461391	vco_ksl_kat_dilemma_call_for_aid	FOURTH	EFFECT_BUNDLE	KEY[vco_victory_payload_ksl_kat_3_dilemma_call_for_aid_hef];DURATION[0]	default
34169461392	vco_cth_miao_dilemma_sister_rescued	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_cth_miao_3_dilemma_sister_rescued_temperance];DURATION[0]	default
34169461393	vco_cth_miao_dilemma_sister_rescued	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_cth_miao_3_dilemma_sister_rescued_vengeance];DURATION[0]	default
34169461394	vco_brt_alb_dilemma_mananns_favour	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_brt_alb_2_dilemma_mananns_favour_storms];DURATION[0]	default
34169461395	vco_brt_alb_dilemma_mananns_favour	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_brt_alb_2_dilemma_mananns_favour_calm_seas];DURATION[0]	default
