key	text	tooltip
#Loc PackedFile;1;text/db/vco_victory_types.loc		
victory_types_display_name_vco_type_mp_coop	Co-Operative Victory	true
victory_types_display_name_vco_type_mp_versus	Head to Head Victory	true
victory_types_display_name_vco_victory_type_alternative_1	Route I	true
victory_types_display_name_vco_victory_type_alternative_1_blessed_by_the_gods	Route I - Blessed by the Gods	true
victory_types_display_name_vco_victory_type_alternative_1_blood_for_the_blood_god	Route I - Blood for the Blood God	true
victory_types_display_name_vco_victory_type_alternative_1_commerce	Route I - Commerce	true
victory_types_display_name_vco_victory_type_alternative_1_conquest	Route I - Conquest	true
victory_types_display_name_vco_victory_type_alternative_1_corruption	Route I - Corruption	true
victory_types_display_name_vco_victory_type_alternative_1_destruction	Route I - Destruction	true
victory_types_display_name_vco_victory_type_alternative_1_economy	Route I - Economy	true
victory_types_display_name_vco_victory_type_alternative_1_edification	Route I - Edification	true
victory_types_display_name_vco_victory_type_alternative_1_expansion	Route I - Expansion	true
victory_types_display_name_vco_victory_type_alternative_1_final_battle	Route I - Final Battle	true
victory_types_display_name_vco_victory_type_alternative_1_in_harmony	Route I - In Harmony	true
victory_types_display_name_vco_victory_type_alternative_1_iron_into_gold	Route I - Iron into Gold	true
victory_types_display_name_vco_victory_type_alternative_1_magic_supremacy	Route I - Magic Supremacy	true
victory_types_display_name_vco_victory_type_alternative_1_miscelany	Route I - Miscellany	true
victory_types_display_name_vco_victory_type_alternative_1_naval_supremacy	Route I - Naval Supremacy	true
victory_types_display_name_vco_victory_type_alternative_1_the_great_game	Route I - The Great Game	true
victory_types_display_name_vco_victory_type_alternative_1_the_maw_that_walks	Route I - The Maw-that-Walks	true
victory_types_display_name_vco_victory_type_alternative_1_threat_elimination	Route I - Threat Elimination	true
victory_types_display_name_vco_victory_type_alternative_1_too_rich_to_walk	Route I - Too Rich to Walk	true
victory_types_display_name_vco_victory_type_alternative_1_unification	Route I - Unification	true
victory_types_display_name_vco_victory_type_alternative_1_united_and_indivisible	Route I - United and Indivisible	true
victory_types_display_name_vco_victory_type_alternative_1_ursun_chaos_dwarfs	Route I - Hibernate until Chaos Dwarfs are out	true
victory_types_display_name_vco_victory_type_alternative_1_wololo	Route I - Wololo	true
victory_types_display_name_vco_victory_type_alternative_2	Route II	true
victory_types_display_name_vco_victory_type_alternative_2_commerce	Route II - Commerce	true
victory_types_display_name_vco_victory_type_alternative_2_conquest	Route II - Conquest	true
victory_types_display_name_vco_victory_type_alternative_2_cool_and_aloof	Route II - Cold and Aloof	true
victory_types_display_name_vco_victory_type_alternative_2_corruption	Route II - Corruption	true
victory_types_display_name_vco_victory_type_alternative_2_destruction	Route II - Destruction	true
victory_types_display_name_vco_victory_type_alternative_2_economy	Route II - Economy	true
victory_types_display_name_vco_victory_type_alternative_2_edification	Route II - Edification	true
victory_types_display_name_vco_victory_type_alternative_2_expansion	Route II - Expansion	true
victory_types_display_name_vco_victory_type_alternative_2_final_battle	Route II - Final Battle	true
victory_types_display_name_vco_victory_type_alternative_2_from_kislev_with_love	Route II - From Kislev with Love	true
victory_types_display_name_vco_victory_type_alternative_2_in_harmony	Route II - In Harmony	true
victory_types_display_name_vco_victory_type_alternative_2_inevitable	Route II - Inevitable	true
victory_types_display_name_vco_victory_type_alternative_2_magic_supremacy	Route II - Magic Supremacy	true
victory_types_display_name_vco_victory_type_alternative_2_miscelany	Route II - Miscellany	true
victory_types_display_name_vco_victory_type_alternative_2_naval_supremacy	Route II - Naval Supremacy	true
victory_types_display_name_vco_victory_type_alternative_2_not_so_grand	Route II - Not So Grand	true
victory_types_display_name_vco_victory_type_alternative_2_overtyrants_reign	Route II - Overtyrant's Reign	true
victory_types_display_name_vco_victory_type_alternative_2_skulls_for_the_skull_throne	Route II - Skulls for the Skull Throne	true
victory_types_display_name_vco_victory_type_alternative_2_succeeding_you	Route II - Succeeding You	true
victory_types_display_name_vco_victory_type_alternative_2_the_age_of_the_ogres	Route II - The Age of the Ogres	true
victory_types_display_name_vco_victory_type_alternative_2_there_can_only_be_one	Route II - There Can Only Be One	true
victory_types_display_name_vco_victory_type_alternative_2_threat_elimination	Route II - Threat Elimination	true
victory_types_display_name_vco_victory_type_alternative_2_toxic_masculinity	Route II - Toxic Masculinity	true
victory_types_display_name_vco_victory_type_alternative_2_unification	Route II - Unification	true
victory_types_display_name_vco_victory_type_alternative_2_ursun_sacred_land	Route II - Ursun's Sacred Land	true
victory_types_display_name_vco_victory_type_alternative_3	Route III	true
victory_types_display_name_vco_victory_type_alternative_3_black_death	Route III - Black Death	true
victory_types_display_name_vco_victory_type_alternative_3_commerce	Route III - Commerce	true
victory_types_display_name_vco_victory_type_alternative_3_conquest	Route III - Conquest	true
victory_types_display_name_vco_victory_type_alternative_3_corruption	Route III - Corruption	true
victory_types_display_name_vco_victory_type_alternative_3_destruction	Route III - Destruction	true
victory_types_display_name_vco_victory_type_alternative_3_dont_thread_on_ming	Route III - Don't Tread on Ming	true
victory_types_display_name_vco_victory_type_alternative_3_economy	Route III - Economy	true
victory_types_display_name_vco_victory_type_alternative_3_edification	Route III - Edification	true
victory_types_display_name_vco_victory_type_alternative_3_expansion	Route III - Expansion	true
victory_types_display_name_vco_victory_type_alternative_3_final_battle	Route III - Final Battle	true
victory_types_display_name_vco_victory_type_alternative_3_hunger_for_power	Route III - Hunger for Power	true
victory_types_display_name_vco_victory_type_alternative_3_iron_man	Route III - Iron Man	true
victory_types_display_name_vco_victory_type_alternative_3_magic_supremacy	Route III - Magic Supremacy	true
victory_types_display_name_vco_victory_type_alternative_3_miscelany	Route III - Miscellany	true
victory_types_display_name_vco_victory_type_alternative_3_nan-gau-style_chicken	Route III - Nan-Gau-style Chicken	true
victory_types_display_name_vco_victory_type_alternative_3_naval_supremacy	Route III - Naval Supremacy	true
victory_types_display_name_vco_victory_type_alternative_3_peacekeeping_mission	Route III - Peacekeeping Mission	true
victory_types_display_name_vco_victory_type_alternative_3_smash	Route III - Smash!	true
victory_types_display_name_vco_victory_type_alternative_3_son_of_kislev	Route III - Son of Kislev	true
victory_types_display_name_vco_victory_type_alternative_3_sweet_and_sour_dragon	Route III - Sweet and Sour Dragon	true
victory_types_display_name_vco_victory_type_alternative_3_the_greatest_orgy	Route III - The Greatest Orgy	true
victory_types_display_name_vco_victory_type_alternative_3_the_northern_expedition	Route III - The Northern Expedition	true
victory_types_display_name_vco_victory_type_alternative_3_the_red_room	Route III - The Red Room	true
victory_types_display_name_vco_victory_type_alternative_3_threat_elimination	Route III - Threat Elimination	true
