key	text	tooltip
#Loc PackedFile;1;text/db/vco_mission_text.loc		
mission_text_text_vco_brt_bdx_1_alberic_vow	Complete the [[url:#]]Grail Vow[[/url]] with [[url:#]]Alberic de Bordeleaux[[/url]].	true
mission_text_text_vco_brt_bdx_1_sacred_pools	Seek out the [[url:#]]Lady of the Lake[[/url]] in the heart of Lustria. Occupy the following region:	true
mission_text_text_vco_brt_bdx_2_no_ocean_for_dead_men	<dummy>"Manann is our blessing, our patron, the one that brings food to our table. He’s also the one that drags our foes to the bottom of his watery home, the bringer of storms and crushing waves. He is the Sea and he is eternal."	true
mission_text_text_vco_brt_bdx_3_home_sweet_home	Return home to your ancestral castle and drive out the foes who have been terrorising the peasants in your absence.\\n\\nMaintain control of the following settlement either by direct ownership or through [[img:icon_vassal]][[/img]]vassals and [[img:icon_military_alliance]][[/img]]military allies:	true
mission_text_text_vco_bst_tau_1_banebeast_naggaroth	<dummy>The skies over Naggaroth are stained crimson, for the Blood God's gaze has fallen upon the heavily fortified cities of the Dark Elves. Driven by countless turbid visions placed in his mind by Khorne, the Bloodbeast will not stop until all of Naggaroth is his blood-ground.	true
mission_text_text_vco_bst_tau_2_beastpaths_ruin	<dummy>The Slaughterhorn leads his tribe south through the forests of Naggaroth and into the jungles of Lustria, driven ever onwards by portentious visions whispered in his primitive mind by the Ruinous Powers.	true
mission_text_text_vco_bst_tau_3_heart_dark	<dummy>The exact location of this place is never spoken of, but the Bray-Shamans claim that all beastpaths ultimately lead toward it. At its centre is the mightiest herdstone in the whole of the world, resonating with a malignant power that Taurox vows will be his to harness.	true
mission_text_text_vco_bst_tau_3_heart_dark_set_piece	Complete the [[url:#]]Heart Of The Dark[[/url]] final battle.	true
mission_text_text_vco_chs_arc_1_beginning_end	<dummy>There are those who would stand against your ascension. Your Father-in-Shadow schemes against you on Albion, the upstart "Godslayer" means to challenge your reign, and the Red Tzar oversteps his bounds, leading an expedition deep into the Chaos Wastes. They will all bend the knee, or they will all die.	true
mission_text_text_vco_chs_arc_1_beginning_end_1	Control at least 3 of the following [[url:#]]Dark Fortresses[[/url]] either by direct ownership or through [[img:icon_vassal]][[/img]]vassals and [[img:icon_military_alliance]][[/img]]military allies:	true
mission_text_text_vco_chs_arc_2_slayer_kings	<dummy>U'zhul, the daemon trapped within your blade, rages against your will, eager to taste the blood of kings. It is time to slake its thirst.	true
mission_text_text_vco_chs_arc_2_slayer_kings_1	Control at least 4 of the following regions either by direct ownership or through [[img:icon_vassal]][[/img]]vassals and [[img:icon_military_alliance]][[/img]]military allies:	true
mission_text_text_vco_chs_arc_3_end_times	<dummy>"Fear me mortals, for I am the Anointed, the favoured Son of Chaos, the Scourge of the World. The armies of the gods rally behind me, and it is by my will and by my sword that your weakling nations shall fall."	true
mission_text_text_vco_common_nagash_books_collected	Collect all the [[url:#]]Books of Nagash[[/url]].	true
mission_text_text_vco_common_nagash_books_collected_0	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 0)	true
mission_text_text_vco_common_nagash_books_collected_1	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 1)	true
mission_text_text_vco_common_nagash_books_collected_2	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 2)	true
mission_text_text_vco_common_nagash_books_collected_3	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 3)	true
mission_text_text_vco_common_nagash_books_collected_4	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 4)	true
mission_text_text_vco_common_nagash_books_collected_5	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 5)	true
mission_text_text_vco_common_nagash_books_collected_6	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 6)	true
mission_text_text_vco_common_nagash_books_collected_7	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 7)	true
mission_text_text_vco_common_nagash_books_collected_8	Collect all the [[url:#]]Books of Nagash[[/url]].\\n(Current: 8)	true
mission_text_text_vco_cst_sar_1_captain_of_the_swordfysh	<dummy>Commander of the Swordfysh, a mighty galleon crewed by hundreds, Aranessa and her crew prefer boarding actions to thundering broadsides. The ship roves the Tilean Sea and beyond, raiding and pillaging any who cross her path. Make them all fear the crossed tridents upon her sails.	true
mission_text_text_vco_cst_sar_2_daughter_of_manann	<dummy>Rumour has it that saltwater flows through her veins instead of blood. That she rose fully grown from the waves in a froth of gore. The truth, unknown to most, is not so magnificent - Aranessa was born a mutant in Skjold and thrown into the sea by her own Norscan tribe. Her crews and victims alike believe Manann, Lord of the Seas, watches over her, and the seas rage as the Swordfysh sails into the wealthiest ports.\\n	true
