key	text	tooltip
#Loc;1;text/db/vco_land_units.loc		
land_units_concealed_name_vco_wh_dlc04_emp_inf_flagellants_0		false
land_units_onscreen_name_vco_wh_dlc04_emp_inf_flagellants_0	Orthodoxy Flagellants	false
land_units_concealed_name_vco_wh_main_dwf_inf_slayers		false
land_units_onscreen_name_vco_wh_main_dwf_inf_slayers	Karak Kadrin Slayers	false
land_units_concealed_name_vco_wh2_dlc10_dwf_inf_giant_slayers		false
land_units_onscreen_name_vco_wh2_dlc10_dwf_inf_giant_slayers	Karak Kadrin Giant Slayers	false
land_units_concealed_name_vco_wh_main_emp_art_mortar		false
land_units_onscreen_name_vco_wh_main_emp_art_mortar	Nuln Mortars	false
land_units_concealed_name_vco_wh_main_emp_art_great_cannon		false
land_units_onscreen_name_vco_wh_main_emp_art_great_cannon	Nuln Great Cannons	false
land_units_concealed_name_vco_wh2_dlc11_cst_cav_knights_errant_2		false
land_units_onscreen_name_vco_wh2_dlc11_cst_cav_knights_errant_2	Damned Knights Errant	false
land_units_concealed_name_vco_wh2_dlc11_cst_cav_knights_of_the_realm		false
land_units_onscreen_name_vco_wh2_dlc11_cst_cav_knights_of_the_realm	Damned Knights of the Realm	false
land_units_concealed_name_vco_wh2_dlc11_cst_cav_questing_knights_0		false
land_units_onscreen_name_vco_wh2_dlc11_cst_cav_questing_knights_0	Damned Questing Knights	false
land_units_concealed_name_vco_wh_main_chs_cha_archaon_the_everchosen_0		false
land_units_onscreen_name_vco_wh_main_chs_cha_archaon_the_everchosen_0	Archaon the Everslave	false
