army_name	character_name	script_name
#battle_set_piece_armies_characters_junctions_tables;0;db/battle_set_piece_armies_characters_junctions_tables/vco		
vco_custom_quest_alarielle_ariel_ally_army_durthu	wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player	player_ally
vco_custom_quest_alarielle_ariel_ally_army_durthu	wh_dlc05_wef_cha_branchwraith_0	player_ally
vco_custom_quest_alarielle_ariel_ally_army_twilight	wh2_dlc16_qb_wef_drycha_coeddil_unchained_glade_captain	ally_chd
vco_custom_quest_alarielle_ariel_ally_army_twilight	wh2_dlc16_qb_wef_sisters_final_battle_wef_sisters	ally_chd
vco_custom_quest_alarielle_ariel_ally_army_twilight	wh3_dlc24_ksl_mother_ostankya_hex_jinxed_land_enemy_spellsinger_life	ally_chd
vco_custom_quest_alarielle_ariel_enemy_army_ariel	wh2_dlc16_qb_skv_throt_final_battle_wef_ariel	enemy_army
vco_custom_quest_alarielle_ariel_enemy_army_ariel	wh2_dlc16_wef_cha_drycha_0	enemy_army
vco_custom_quest_alarielle_ariel_enemy_army_ariel	wh2_dlc16_wef_cha_malicious_branchwraith_beasts_0	enemy_army
vco_custom_quest_alarielle_ariel_enemy_army_ariel	wh3_dlc23_endless_survival_wef_cha_coeddil	enemy_army
vco_custom_quest_alarielle_ariel_enemy_army_orion	wh3_dlc20_qb_chs_azazel_daemonblade_enemy_wood_elves_glade_captain	enemy_reinforcements
vco_custom_quest_alarielle_ariel_enemy_army_orion	wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player	enemy_reinforcements
vco_custom_quest_alarielle_ariel_enemy_army_orion	wh_dlc05_wef_cha_spellsinger_beasts_3	enemy_reinforcements
vco_custom_quest_alarielle_ariel_enemy_army_orion	wh_dlc05_wef_cha_waystalker_0	enemy_reinforcements
vco_custom_quest_alarielle_ariel_enemy_army_slaanesh	wh3_dlc20_chs_cha_daemon_prince_msla	enemy_reinforcements_2
vco_custom_quest_alarielle_ariel_enemy_army_slaanesh	wh3_main_qb_sla_nkari_sword_player_02	enemy_reinforcements_2
vco_custom_quest_alarielle_ariel_enemy_army_slaanesh	wh3_main_sla_cha_herald_of_slaanesh_slaanesh_0	enemy_reinforcements_2
vco_custom_quest_alarielle_ariel_enemy_army_slaanesh	wh3_main_survival_sla_cha_exalted_keeper_of_secrets_slaanesh	enemy_reinforcements_2
vco_custom_quest_alarielle_hellebron_enemy_army_def_crones	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_defender_crone_hellebron_01	enemy_army
vco_custom_quest_alarielle_hellebron_enemy_army_def_crones	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_defender_khainite_assassin_01	enemy_army
vco_custom_quest_alarielle_hellebron_enemy_army_def_crones	wh2_dlc17_qb_bst_taurox_rune_tortured_axes_enemy_main_death_hag	enemy_army
vco_custom_quest_alarielle_hellebron_enemy_army_kho_valkia	vco_alarielle_custom_battle_chaos_lord_on_dragon	enemy_reinforcements
vco_custom_quest_alarielle_hellebron_enemy_army_kho_valkia	vco_alarielle_custom_battle_daemon_prince_of_khorne	enemy_reinforcements
vco_custom_quest_alarielle_hellebron_enemy_army_kho_valkia	wh3_dlc20_survival_chs_altar_of_battle_enemy_valkia	enemy_reinforcements
vco_custom_quest_alarielle_hellebron_enemy_army_kho_valkia	wh3_dlc24_tze_changeling_theatre_scheme_chaos_wastes_exalted_bloodthirster	enemy_reinforcements
vco_custom_quest_belegar_skavenblight_ally_thorgrim	wh_dlc17_qb_dwf_cha_thorek_lost_vault_dwf_thorek	player_ally
vco_custom_quest_belegar_skavenblight_ally_thorgrim	wh_main_qb_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_3_player	player_ally
vco_custom_quest_belegar_skavenblight_ally_ungrim	wh2_pro08_neu_cha_felix	reinforcements
vco_custom_quest_belegar_skavenblight_ally_ungrim	wh2_pro08_neu_cha_gotrek	reinforcements
vco_custom_quest_belegar_skavenblight_ally_ungrim	wh_main_dwf_cha_ungrim_ironfist	reinforcements
vco_custom_quest_belegar_skavenblight_enemy_ikit	wh2_dlc12_qb_skv_ikit_claw_warlock_engineer_02	enemy_army
vco_custom_quest_belegar_skavenblight_enemy_ikit	wh2_dlc12_skv_cha_ikit_claw_qb	enemy_army
vco_custom_quest_belegar_skavenblight_enemy_ikit	wh2_dlc16_qb_skv_throt_whip_of_domination_skv_chieften	enemy_army
vco_custom_quest_belegar_skavenblight_enemy_ikit_2	wh2_dlc14_qb_skv_snikch_final_battle_skv_snikch	enemy_army_2
vco_custom_quest_belegar_skavenblight_enemy_ikit_2	wh2_dlc14_skv_cha_eshin_sorcerer_0	enemy_army_2
vco_custom_quest_belegar_skavenblight_enemy_ikit_2	wh_dlc17_qb_dwf_cha_thorek_lost_vault_skv_assassin_2	enemy_army_2
vco_custom_quest_eight_peaks_enemy_belegar	vco_enemy_eight_peaks_belegar	enemy_army
vco_custom_quest_eight_peaks_enemy_belegar	vco_enemy_eight_peaks_dramar_hammerfist	enemy_army
vco_custom_quest_eight_peaks_enemy_belegar	vco_enemy_eight_peaks_halkenhaf_stonebeard	enemy_army
vco_custom_quest_eight_peaks_enemy_belegar	vco_enemy_eight_peaks_king_lunn_ironhammer	enemy_army
vco_custom_quest_eight_peaks_enemy_belegar	vco_enemy_eight_peaks_throni_ironbrow	enemy_army
vco_custom_quest_eight_peaks_enemy_belegar_queek	vco_enemy_eight_peaks_belegar	enemy_army
vco_custom_quest_eight_peaks_enemy_belegar_queek	vco_enemy_eight_peaks_dramar_hammerfist	enemy_army
